 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
304,5,46,1061.553,1790.073,0,5.872,7.224,63.525,623.251,6541.004,0.116
305,5,47,1060.925,1802.489,0,5.863,6.693,57.135,549.784,5661.043,0.211
306,5,48,1052.976,1799.911,0,6.056,8.163,75.796,757.925,7938.115,0.006
307,5,49,1145.675,1872.744,0,3.862,7.136,64.559,651.963,7001.513,14.489
308,5,51,1014.681,1994.768,0,3.496,7.593,65.690,618.540,6181.711,1.856
309,5,52,1140.338,2014.200,0,3.629,5.893,44.662,389.531,3707.444,0.033
310,5,53,982.253,2012.925,0,5.606,6.596,55.928,536.506,5508.959,0.085
311,5,54,990.809,1991.427,0,4.353,5.917,44.830,393.928,3816.441,2.054E-9
312,5,55,1040.127,1811.067,0,3.347,6.340,56.046,564.988,6060.516,20.214
313,5,56,1152.919,1899.969,0,3.928,7.378,69.875,730.622,8023.429,15.453
314,5,57,1207.954,1754.218,0,3.272,8.117,77.980,806.536,8720.258,2.453E-4
315,5,58,1114.743,1983.216,0,3.331,6.970,59.733,576.615,5975.478,31.039
316,5,59,1225.108,1928.912,0,3.455,7.682,64.804,588.749,5679.701,15.002
317,5,60,1252.435,1973.920,0,4.833,7.790,68.963,658.614,6629.483,26.339
318,5,61,1248.691,2031.073,0,2.770,8.636,84.643,886.718,9692.720,0.009
319,6,0,963.802,805.357,0,6.523,5.845,47.791,455.488,4670.940,1.973E-26
320,6,1,1029.831,582.525,0,3.720,6.716,59.332,586.996,6148.671,6.812E-21
321,6,2,1064.030,768.089,0,3.816,7.749,66.176,615.311,6130.277,3.661
322,6,3,1202.246,713.883,0,4.719,5.902,47.323,441.092,4475.537,2.777E-5
323,6,4,1287.247,667.148,0,27.805,4.713,28.125,193.569,1469.292,0.000
